Tarih,Temel_Aylik_Enf_%,Temel_Aylik_Kur_%,Temel_Olasi_Kur,Temel_Adil_Kur,Temel_Baski_%,İyimser_Aylik_Enf_%,İyimser_Aylik_Kur_%,İyimser_Olasi_Kur,İyimser_Adil_Kur,İyimser_Baski_%,Kötümser_Aylik_Enf_%,Kötümser_Aylik_Kur_%,Kötümser_Olasi_Kur,Kötümser_Adil_Kur,Kötümser_Baski_%
2026-09,1.8,1.0,48.33,61.49,27.22,1.4,1.1,48.33,61.49,27.22,2.5,0.8,48.33,61.49,27.22
2026-10,1.75,0.98,48.8,62.45,27.95,1.35,1.07,48.85,62.2,27.34,2.47,0.78,48.71,62.88,29.1
2026-11,1.71,0.96,49.27,63.39,28.67,1.31,1.04,49.36,62.89,27.42,2.43,0.77,49.09,64.28,30.96
2026-12,1.66,0.94,49.73,64.32,29.33,1.26,1.01,49.86,63.56,27.48,2.4,0.76,49.46,65.69,32.81
2027-01,1.62,0.92,50.19,65.23,29.98,1.22,0.98,50.35,64.21,27.53,2.36,0.74,49.83,67.11,34.69
2027-02,1.57,0.9,50.64,66.13,30.58,1.18,0.95,50.83,64.84,27.56,2.33,0.73,50.19,68.54,36.55
2027-03,1.53,0.88,51.09,67.01,31.17,1.13,0.92,51.3,65.44,27.58,2.29,0.71,50.55,69.97,38.43
2027-04,1.48,0.86,51.53,67.87,31.71,1.08,0.89,51.76,66.02,27.56,2.25,0.69,50.9,71.41,40.29
2027-05,1.44,0.84,51.96,68.71,32.23,1.04,0.86,52.21,66.57,27.52,2.22,0.68,51.25,72.85,42.16
2027-06,1.39,0.82,52.39,69.53,32.73,1.0,0.83,52.64,67.1,27.46,2.19,0.66,51.59,74.3,44.01
2027-07,1.35,0.8,52.81,70.33,33.18,0.95,0.8,53.06,67.6,27.41,2.15,0.65,51.93,75.75,45.88
2027-08,1.3,0.78,53.22,71.11,33.61,0.9,0.77,53.47,68.08,27.32,2.11,0.64,52.26,77.2,47.72
2027-09,1.26,0.76,53.62,71.86,34.01,0.86,0.74,53.87,68.53,27.22,2.08,0.62,52.58,78.65,49.57
2027-10,1.21,0.74,54.02,72.59,34.38,0.82,0.71,54.25,68.95,27.09,2.04,0.6,52.9,80.1,51.43
2027-11,1.17,0.72,54.41,73.29,34.71,0.77,0.68,54.62,69.34,26.96,2.01,0.59,53.21,81.55,53.25
2027-12,1.12,0.7,54.79,73.97,35.0,0.72,0.65,54.98,69.7,26.79,1.98,0.57,53.52,83.0,55.09
2028-01,1.08,0.68,55.16,74.62,35.27,0.68,0.62,55.32,70.03,26.6,1.94,0.56,53.82,84.44,56.9
2028-02,1.03,0.66,55.52,75.24,35.51,0.64,0.59,55.65,70.33,26.4,1.9,0.55,54.11,85.88,58.7
2028-03,0.99,0.64,55.88,75.83,35.72,0.59,0.56,55.96,70.6,26.17,1.87,0.53,54.4,87.31,60.51
2028-04,0.94,0.62,56.23,76.39,35.87,0.55,0.53,56.26,70.84,25.93,1.83,0.52,54.68,88.74,62.28
2028-05,0.9,0.6,56.57,76.92,35.99,0.5,0.5,56.54,71.05,25.66,1.8,0.5,54.95,90.16,64.07
